seed,static,greedy_ols,thompson,oracle
2000,268337.3825396924,278242.9847399399,279374.7828584168,287161.0132470601
2001,267390.99130686733,285079.2250169225,284585.9395426839,286537.77829270525
2002,269637.5118645189,282739.5248953433,286029.56005183514,289225.4466699765
2003,265728.44283603784,276319.9424621877,277957.2159643052,285372.1643020754
2004,266896.03631844535,281768.00617853616,281011.3977746349,285582.34447479935
2005,266441.6544030829,270270.9757837153,272833.1508824261,285751.5278963578
2006,266284.45840681915,284980.72496976884,284679.8439908989,285464.2967261371
2007,266222.41340755945,278405.74276478024,280119.5888447395,285795.98399396095
2008,265560.9334435455,284663.5049848892,284661.09247640433,286096.88069070975
2009,268604.5336861189,286844.2221931471,286693.0142570339,288047.9015098999
