t,day,sin_d,cos_d,traffic,competitor_price,price,demand,revenue,oracle_price,oracle_expected_revenue,forced_exploration
0,0,0.0,1.0,492.0,28.23844269050346,50.0,0.0,0.0,16.479610672625867,271.5775679213244,False
1,1,0.7818314824680298,0.6234898018587336,780.0,36.01473943980335,50.0,0.0,0.0,22.2737714414895,496.1208942277133,False
2,2,0.9749279121818236,-0.22252093395631434,923.0,28.78396118207469,50.0,0.0,0.0,22.512178674678655,506.7981886806564,False
3,3,0.43388373911755823,-0.900968867902419,658.0,25.19218962182193,50.0,0.0,0.0,18.762415578524248,352.0282383412494,False
4,4,-0.433883739117558,-0.9009688679024191,332.0,31.607052004554856,50.0,0.0,0.0,16.238363695972367,263.6844555226734,False
5,5,-0.9749279121818236,-0.2225209339563146,109.0,38.328022080206196,50.0,0.0,0.0,14.808338074847882,219.28687653898947,False
6,6,-0.7818314824680299,0.6234898018587334,191.0,33.51087985731579,50.0,0.0,0.0,14.194143580931552,201.47371199610038,False
7,0,0.0,1.0,487.0,36.90929536937711,50.0,0.0,0.0,18.59732384234428,345.86045409702706,False
8,1,0.7818314824680298,0.6234898018587336,774.0,44.03055299104005,50.0,0.0,0.0,24.217724829298675,586.4981959076296,False
9,2,0.9749279121818236,-0.22252093395631434,873.0,32.62491749993515,50.0,0.0,0.0,22.97241775414377,527.7319774708999,False
10,3,0.43388373911755823,-0.900968867902419,681.0,37.41213964482538,50.0,0.0,0.0,22.04740308427511,486.0879827605037,False
11,4,-0.433883739117558,-0.9009688679024191,321.0,33.84397852736198,50.0,0.0,0.0,16.68759532667415,278.4758377868369,False
12,5,-0.9749279121818236,-0.2225209339563146,103.0,35.43719863136107,50.0,0.0,0.0,14.025632212636602,196.7183589641495,False
13,6,-0.7818314824680299,0.6234898018587334,199.0,36.25604725861675,50.0,0.0,0.0,14.96043543125679,223.81462829280355,False
14,0,0.0,1.0,519.0,23.922587746153198,50.0,0.0,0.0,15.6706469365383,245.56917540963724,False
15,1,0.7818314824680298,0.6234898018587336,848.0,22.604128810773556,50.0,0.0,0.0,19.601118784232053,384.20385759357464,False
16,2,0.9749279121818236,-0.22252093395631434,873.0,25.943953749704605,50.0,0.0,0.0,21.302176816586133,453.78273712509974,False
17,3,0.43388373911755823,-0.900968867902419,710.0,20.707130479101167,50.0,0.0,0.0,18.16115079284406,329.82739812042047,False
18,4,-0.433883739117558,-0.9009688679024191,341.0,16.004091020063147,50.0,0.0,0.0,12.427623449849438,154.44582461124764,False
19,5,-0.9749279121818236,-0.2225209339563146,111.0,14.288062959029945,50.0,0.0,0.0,8.81834829455382,77.76326664406027,False
20,6,-0.7818314824680299,0.6234898018587334,180.0,10.911259504045864,50.0,0.0,0.0,8.43423849261407,71.13637895029285,False
21,0,0.0,1.0,494.0,6.691684241106759,50.0,0.0,0.0,11.11292106027669,123.4970144919412,False
22,1,0.7818314824680298,0.6234898018587336,866.0,14.65918215798627,50.0,0.0,0.0,17.79488212103523,316.65782970153924,False
23,2,0.9749279121818236,-0.22252093395631434,919.0,10.5675593162161,50.0,0.0,0.0,17.918078208214006,321.0575266756736,False
24,3,0.43388373911755823,-0.900968867902419,699.0,7.2238867861859335,50.0,0.0,0.0,14.680339869615251,215.51237868741512,False
25,4,-0.433883739117558,-0.9009688679024191,311.0,13.490220328556301,50.0,0.0,0.0,11.499155776972728,132.23058358308526,False
26,5,-0.9749279121818236,-0.2225209339563146,107.0,12.139255035205242,50.0,0.0,0.0,8.241146313597644,67.91649256212405,False
27,6,-0.7818314824680299,0.6234898018587334,216.0,25.614150721665553,50.0,0.0,0.0,12.46996129701899,155.49993474915155,False
28,0,0.0,1.0,491.0,9.30509427736779,50.0,0.0,0.0,11.736273569341947,137.74011729443436,False
29,1,0.7818314824680298,0.6234898018587336,794.0,22.18247568743875,50.0,0.0,0.0,18.955705503398352,359.31877113156656,False
30,2,0.9749279121818236,-0.22252093395631434,824.0,24.038195176094387,50.0,0.0,0.0,20.335737173183578,413.5422063768004,False
31,3,0.43388373911755823,-0.900968867902419,642.0,33.832789434841494,50.0,0.0,0.0,20.76256553177914,431.0841274614231,False
32,4,-0.433883739117558,-0.9009688679024191,312.0,38.1150212008175,50.0,0.0,0.0,17.665355995038027,312.06480243142596,False
33,5,-0.9749279121818236,-0.2225209339563146,114.0,28.864097158733657,50.0,0.0,0.0,12.492356844479747,156.05897952982,False
34,6,-0.7818314824680299,0.6234898018587334,194.0,28.393855226830247,50.0,0.0,0.0,12.944887423310165,167.5701104021737,False
35,0,0.0,1.0,509.0,33.393259885597566,50.0,0.0,0.0,17.938314971399393,321.7831440131316,False
36,1,0.7818314824680298,0.6234898018587336,869.0,35.34958128274612,50.0,0.0,0.0,22.997481902225193,528.8841738431753,False
37,2,0.9749279121818236,-0.22252093395631434,943.0,43.98541451737245,50.0,0.0,0.0,26.512542008503093,702.9148837526412,False
38,3,0.43388373911755823,-0.900968867902419,700.0,31.880412257717964,50.0,0.0,0.0,20.85447123749826,434.9089705956422,False
39,4,-0.433883739117558,-0.9009688679024191,298.0,40.56526171566942,50.0,0.0,0.0,18.137916123751005,328.98400131222667,False
40,5,-0.9749279121818236,-0.2225209339563146,105.0,40.60008888485107,50.0,0.0,0.0,15.3363547760091,235.20377781561714,False
41,6,-0.7818314824680299,0.6234898018587334,207.0,32.747048774268464,50.0,0.0,0.0,14.163185810169718,200.59583229339287,False
42,0,0.0,1.0,475.0,35.282141150880506,50.0,0.0,0.0,18.070535287720126,326.5442455847383,False
43,1,0.7818314824680298,0.6234898018587336,817.0,25.144532160123756,50.0,0.0,0.0,19.9262196215696,397.0542284070254,False
44,2,0.9749279121818236,-0.22252093395631434,909.0,33.91165325730341,50.0,0.0,0.0,23.654101693485835,559.5165269257694,False
45,3,0.43388373911755823,-0.900968867902419,685.0,29.110300799972457,50.0,0.0,0.0,20.011943373061882,400.4778775666354,False
46,4,-0.433883739117558,-0.9009688679024191,298.0,17.433752489605997,50.0,0.0,0.0,12.355038817235151,152.64698417538736,False
47,5,-0.9749279121818236,-0.2225209339563146,125.0,18.963959813252533,50.0,0.0,0.0,10.127322508109467,102.56266118326062,False
48,6,-0.7818314824680299,0.6234898018587334,190.0,19.311557954437934,50.0,0.0,0.0,10.634313105212087,113.08861521968554,False
49,0,0.0,1.0,485.0,8.498365127533528,50.0,0.0,0.0,11.474591281883384,131.66624508627416,False
50,1,0.7818314824680298,0.6234898018587336,860.0,14.375807066101148,50.0,0.0,0.0,17.66403834806395,312.01825076187384,False
51,2,0.9749279121818236,-0.22252093395631434,872.0,8.50157749523759,50.0,0.0,0.0,16.931582752969376,286.67849452065,False
52,3,0.43388373911755823,-0.900968867902419,645.0,10.94807619873181,50.0,0.0,0.0,15.07138722275172,227.14671281812383,False
53,4,-0.433883739117558,-0.9009688679024191,330.0,10.373215161705899,50.0,0.0,0.0,10.909904485260126,119.02601587749902,False
54,5,-0.9749279121818236,-0.2225209339563146,124.0,16.149408471449078,50.0,0.0,0.0,9.413684672658604,88.61745911624753,False
55,6,-0.7818314824680299,0.6234898018587334,182.0,14.58479527927672,50.0,0.0,0.0,9.372622436421784,87.84605133571702,False
56,0,0.0,1.0,501.0,16.707280171304923,50.0,0.0,0.0,13.68682004282623,187.32904288470982,False
57,1,0.7818314824680298,0.6234898018587336,830.0,14.606874992411171,50.0,0.0,0.0,17.421805329641458,303.5193009439235,False
58,2,0.9749279121818236,-0.22252093395631434,879.0,16.47213261471748,50.0,0.0,0.0,18.99422153283935,360.7804516385781,False
59,3,0.43388373911755823,-0.900968867902419,671.0,25.312625589606185,50.0,0.0,0.0,18.922524570470316,358.0619361200528,False
60,4,-0.433883739117558,-0.9009688679024191,271.0,22.640340671052833,50.0,0.0,0.0,13.38668586259686,179.20335838385063,False
61,5,-0.9749279121818236,-0.2225209339563146,96.0,24.54215681596655,50.0,0.0,0.0,11.231871758787971,126.15494320585879,False
62,6,-0.7818314824680299,0.6234898018587334,192.0,31.328908845656073,50.0,0.0,0.0,13.658650828016622,186.55874244167916,False
63,0,0.0,1.0,503.0,23.69106585109906,50.0,0.0,0.0,15.452766462774767,238.78799135305658,False
64,1,0.7818314824680298,0.6234898018587336,839.0,32.184568689997405,50.0,0.0,0.0,21.906228754038015,479.8828582242419,False
65,2,0.9749279121818236,-0.22252093395631434,923.0,31.988899021487697,50.0,0.0,0.0,23.313413134531906,543.5152319813648,False
66,3,0.43388373911755823,-0.900968867902419,644.0,48.093118945832785,50.0,0.0,0.0,24.347647909526962,592.8079587262927,False
67,4,-0.433883739117558,-0.9009688679024191,335.0,50.0,50.0,0.0,0.0,20.86660069483365,435.4150245576322,False
68,5,-0.9749279121818236,-0.2225209339563146,108.0,46.25238417645722,50.0,0.0,0.0,16.779428598910638,281.5492241059402,False
69,6,-0.7818314824680299,0.6234898018587334,155.0,41.48494488515845,50.0,0.0,0.0,15.827659837892215,250.51481594402622,False
70,0,0.0,1.0,498.0,21.784044356421216,50.0,0.0,0.0,14.926011089105305,222.78580703209454,False
71,1,0.7818314824680298,0.6234898018587336,782.0,44.3092289018191,50.0,0.0,0.0,24.367393806993437,593.7698809451022,False
72,2,0.9749279121818236,-0.22252093395631434,902.0,41.02314522971768,50.0,0.0,0.0,25.3619746865894,643.2297600032015,False
73,3,0.43388373911755823,-0.900968867902419,674.0,26.193506390897245,50.0,0.0,0.0,19.172744770793077,367.5941420459733,False
74,4,-0.433883739117558,-0.9009688679024191,293.0,28.467685787216485,50.0,0.0,0.0,15.063522141637772,226.90969931161143,False
75,5,-0.9749279121818236,-0.2225209339563146,131.0,32.930084080726765,50.0,0.0,0.0,13.678853574978024,187.11103512568909,False
76,6,-0.7818314824680299,0.6234898018587334,186.0,21.122399162555695,50.0,0.0,0.0,11.047023407241527,122.0367261601422,False
77,0,0.0,1.0,478.0,20.30390969253816,50.0,0.0,0.0,14.35597742313454,206.09408777354864,False
78,1,0.7818314824680298,0.6234898018587336,760.0,13.236397430891845,50.0,0.0,0.0,16.379185939261625,268.2777320329057,False
79,2,0.9749279121818236,-0.22252093395631434,849.0,18.35082699500534,50.0,0.0,0.0,19.163895127911317,367.2548764735831,False
80,3,0.43388373911755823,-0.900968867902419,692.0,7.864643888623062,50.0,0.0,0.0,14.770529145224533,218.16853122992737,False
81,4,-0.433883739117558,-0.9009688679024191,340.0,10.629644285751956,50.0,0.0,0.0,11.07401176627164,122.63373659952273,False
82,5,-0.9749279121818236,-0.2225209339563146,106.0,12.81765847532609,50.0,0.0,0.0,8.400747173627856,70.57255307521642,False
83,6,-0.7818314824680299,0.6234898018587334,204.0,14.209253314416047,50.0,0.0,0.0,9.498736945206614,90.22600355423309,False
84,0,0.0,1.0,467.0,17.26154629134434,50.0,0.0,0.0,13.485386572836084,181.85565101882776,False
85,1,0.7818314824680298,0.6234898018587336,798.0,13.630450705675631,50.0,0.0,0.0,16.85769925795757,284.1820242717432,False
86,2,0.9749279121818236,-0.22252093395631434,958.0,9.761724201671727,50.0,0.0,0.0,18.10661942957791,327.8496671675683,False
87,3,0.43388373911755823,-0.900968867902419,657.0,21.973775583113238,50.0,0.0,0.0,17.947812068847078,322.1239580586528,False
88,4,-0.433883739117558,-0.9009688679024191,343.0,18.837716489628423,50.0,0.0,0.0,13.156029817240757,173.08112055212786,False
89,5,-0.9749279121818236,-0.2225209339563146,88.0,26.756923304822372,50.0,0.0,0.0,11.705563381001927,137.02021406665327,False
90,6,-0.7818314824680299,0.6234898018587334,181.0,27.06465727137812,50.0,0.0,0.0,12.482587934447132,155.8150015412051,False
91,0,0.0,1.0,508.0,29.343508217810005,50.0,0.0,0.0,16.9158770544525,286.14689652135263,False
92,1,0.7818314824680298,0.6234898018587336,761.0,28.74585811804539,50.0,0.0,0.0,20.26655111105001,410.7330939368024,False
93,2,0.9749279121818236,-0.22252093395631434,879.0,30.224557678124917,50.0,0.0,0.0,22.43232779869121,503.2093304679345,False
94,3,0.43388373911755823,-0.900968867902419,696.0,40.43547049817101,50.0,0.0,0.0,22.95323579761152,526.8510335807549,False
95,4,-0.433883739117558,-0.9009688679024191,301.0,37.89781537680463,50.0,0.0,0.0,17.50105453903481,306.28690997827096,False
